Fish #,Latitude,Longitude,Length,Recap Tag#,
565,65.3837,-147.3843,310,-,
566,65.3837,-147.3843,283,-,
567,65.3814,-147.3833,322,-,
568,65.3814,-147.3833,275,-,
569,65.3814,-147.3833,312,-,
570,65.3814,-147.3833,282,343,
571,65.3814,-147.3833,294,-,
572,65.3814,-147.3833,330,-,
573,65.3814,-147.3833,251,-,
574,65.3814,-147.3833,274,-,
575,65.3814,-147.3833,273,-,
576,65.3814,-147.3833,264,-,
577,65.3814,-147.3833,282,-,
578,65.3814,-147.3833,327,-,
579,65.3792,-147.3886,290,-,
580,65.3792,-147.3886,293,-,
581,65.3792,-147.3886,262,-,
582,65.3792,-147.3886,352,-,
583,65.3792,-147.3886,261,-,
584,65.3792,-147.3886,314,-,
585,65.3802,-147.3914,311,-,
586,65.3802,-147.3914,307,-,
587,65.3802,-147.3914,251,-,
588,65.3802,-147.3914,307,-,
589,65.3802,-147.3914,250,-,
590,65.3802,-147.3914,284,-,
591,65.3802,-147.3914,271,-,
592,65.3802,-147.3914,254,-,
593,65.3802,-147.3914,297,-,
594,65.3819,-147.4217,262,-,
595,65.3819,-147.4217,253,-,
596,65.3812,-147.4419,298,-,
597,65.3812,-147.4419,259,-,
598,65.3812,-147.4419,272,-,
599,65.3812,-147.4419,307,618,
600,65.3820,-147.4227,250,120,
601,65.3818,-147.4252,259,-,
602,65.3818,-147.4252,308,-,
603,65.3814,-147.4264,306,-,
604,65.3803,-147.4285,301,-,
605,65.3803,-147.4285,272,-,
606,65.3803,-147.4285,258,-,
607,65.3803,-147.4285,273,-,
608,65.3803,-147.4285,251,-,
609,65.3796,-147.4289,256,-,
610,65.3796,-147.4289,254,-,
611,65.3796,-147.4289,310,-,
612,65.3796,-147.4289,276,-,
613,65.3796,-147.4289,269,-,
614,65.3787,-147.4286,265,-,
615,65.3787,-147.4286,277,-,
616,65.3787,-147.4286,285,-,
617,65.3787,-147.4286,264,-,
618,65.3787,-147.4286,284,-,
619,65.3785,-147.4213,280,-,
620,65.3785,-147.4213,252,-,
621,65.3785,-147.4213,251,Recap?,"Not sure if we should keep or toss.  There was no secondary fin clip, but a needle was found in the fish.  I kinda sorta remember someone mentioning that this happened, but don't remember who or where."
622,65.3785,-147.4213,288,-,
623,65.3785,-147.4213,250,-,
624,65.3785,-147.4213,251,-,
625,65.3785,-147.4213,255,135,
626,65.3785,-147.4213,292,-,
627,65.3785,-147.4213,251,128,
628,65.3785,-147.4213,252,-,
629,65.3785,-147.4213,255,-,
630,65.3777,-147.4330,251,-,
631,65.3777,-147.4330,305,-,
632,65.3777,-147.4330,252,-,
633,65.3777,-147.4330,285,-,
634,65.3777,-147.4330,264,-,
635,65.3777,-147.4330,258,-,
636,65.3779,-147.4366,260,-,
637,65.3779,-147.4366,254,-,
638,65.3779,-147.4366,252,-,
639,65.3779,-147.4366,250,-,
640,65.3810,-147.4403,251,266,
641,65.3806,-147.4462,267,-,
642,65.3806,-147.4462,278,-,
643,65.3775,-147.4460,270,-,
644,65.3775,-147.4460,255,-,
645,65.3775,-147.4460,276,-,
646,65.3775,-147.4460,274,-,
647,65.3775,-147.4460,286,-,
648,65.3784,-147.4627,267,-,
649,65.3780,-147.4703,252,-,
650,65.3772,-147.4776,332,-,
651,65.3772,-147.4776,250,-,
652,65.3754,-147.4762,294,-,
653,65.3754,-147.4762,295,-,
654,65.3754,-147.4762,278,-,
655,65.3754,-147.4762,324,-,
656,65.3754,-147.4762,256,-,
657,65.3754,-147.4762,252,-,
658,65.3754,-147.4762,335,-,
659,65.3742,-147.4984,300,-,
660,65.3742,-147.4984,274,-,
661,65.3742,-147.4984,255,-,
662,65.3742,-147.4984,274,-,
663,65.3742,-147.4984,268,-,
664,65.3742,-147.4984,267,-,
665,65.3773,-147.4867,296,-,
666,65.3773,-147.4867,275,-,
667,65.3773,-147.4867,278,-,
668,65.3773,-147.4867,295,-,
669,65.3773,-147.4867,292,-,
670,65.3773,-147.4867,285,-,
671,65.3773,-147.4867,265,-,
672,65.3773,-147.4867,276,-,
673,65.3773,-147.4867,293,-,
674,65.3773,-147.4867,251,-,
675,65.3773,-147.4867,256,-,
676,65.3773,-147.4867,300,-,
677,65.3773,-147.4867,286,-,
678,65.3773,-147.4867,252,-,
679,65.3773,-147.4867,272,-,
680,65.3773,-147.4867,256,-,
681,65.3785,-147.4871,250,-,
682,65.3785,-147.4871,279,-,
683,65.3785,-147.4871,285,-,
684,65.3785,-147.4871,315,-,
685,65.3785,-147.4871,255,-,
686,65.3814,-147.4862,311,-,
687,65.3814,-147.4862,282,-,
688,65.3814,-147.4862,320,-,
689,65.3817,-147.4901,295,-,
690,65.3817,-147.4901,292,-,
691,65.3817,-147.4901,273,-,
692,65.3817,-147.4901,272,-,
693,65.3817,-147.4901,274,-,
694,65.3817,-147.4901,255,-,
695,65.3817,-147.4901,264,-,
696,65.3817,-147.4901,278,-,
697,65.3817,-147.4901,294,-,
698,65.3817,-147.4901,290,-,
699,65.3817,-147.4901,288,-,
700,65.3817,-147.4901,254,-,
701,65.3817,-147.4901,265,-,
702,65.3778,-147.4940,270,-,
703,65.3778,-147.4940,272,-,
704,65.3778,-147.4940,271,-,
705,65.3778,-147.4940,311,-,
706,65.3778,-147.4940,263,-,
707,65.3778,-147.4940,275,-,
708,65.3781,-147.5026,260,-,
709,65.3767,-147.4748,257,-,
710,65.3767,-147.4748,265,-,
711,65.3767,-147.4748,270,-,
712,65.3767,-147.4748,260,-,
713,65.3767,-147.4748,295,-,
714,65.3767,-147.4748,304,-,
715,65.3767,-147.4748,278,-,
716,65.3767,-147.4748,253,-,
717,65.3767,-147.4748,251,-,
718,65.3767,-147.4748,287,-,
719,65.3767,-147.4748,280,-,
720,65.3767,-147.4748,279,-,
721,65.3767,-147.4748,259,-,
722,65.3767,-147.4748,297,-,
723,65.3767,-147.4748,320,-,
724,65.3767,-147.4748,253,-,
725,65.3770,-147.4745,313,-,
726,65.3770,-147.4745,265,-,
727,65.3770,-147.4745,292,-,
728,65.3770,-147.4745,260,-,
729,65.3770,-147.4745,338,-,
730,65.3770,-147.4745,310,-,
731,65.3770,-147.4745,281,-,
732,65.3770,-147.4745,250,-,
733,65.3814,-147.4856,286,-,
734,65.3814,-147.4856,285,275,
735,65.3814,-147.4856,279,-,
736,65.3814,-147.4856,288,-,
737,65.3814,-147.4856,340,-,
738,65.3818,-147.4897,278,-,
739,65.3818,-147.4897,297,-,
740,65.3818,-147.4897,283,-,
741,65.3818,-147.4897,251,-,
742,65.3818,-147.4897,287,-,
743,65.3799,-147.4927,309,-,
744,65.3777,-147.4947,253,-,
745,65.3777,-147.4947,286,-,
746,65.3777,-147.4947,258,-,
747,65.3777,-147.4947,260,-,
748,65.3777,-147.4947,288,-,
749,65.3777,-147.4947,251,-,
750,65.3777,-147.4947,250,-,
751,65.3775,-147.4962,250,-,
752,65.3775,-147.4962,262,-,
753,65.3775,-147.4962,257,-,
754,65.3780,-147.5022,271,-,
755,65.3780,-147.5022,266,-,
756,65.3780,-147.5022,275,-,
757,65.3780,-147.5022,303,-,
